feature,skewness,kurtosis,is_approx_normal
spx_close_z,0.608361764914994,-0.9234695996479063,True
vix_close_z,1.3302123894604212,2.5734667829113347,False
R1_z,0.1527223747789675,8.390090946051165,False
R2_z,-0.6927631421419954,2.6918107566374534,False
M1_z,-0.8039657120043078,2.0333142430498805,False
M2_z,-0.9218892156044226,1.4119878135117494,True
V1_z,2.3274674117424747,8.93716241135089,False
V1'_z,0.5435244752049795,0.23953113464482145,True
V2_z,1.5900476635537684,2.2241468091386025,False
V3_hl10_z,1.8422541633832838,4.758086320734177,False
V3_hl20_z,1.3868937779414763,1.6487053613715625,False
S1_hl10_z,0.708711589640976,0.7271977081960834,True
S1_hl20_z,0.6917477622041377,0.8051182656740417,True
D1_z,-1.303380962361801,0.9810938729457526,False
curve_10y_2y_z,0.2057491548712983,-0.918030141593472,True
credit_spread_baa_aaa_z,0.46724133193911505,-1.3465065310232591,True
X1_corr_42_z,-0.3209821625962841,-0.6959321882427294,True
X1_corr_ewm_hl10_z,-0.2854205366852762,-0.693222923613829,True
X1_corr_ewm_hl20_z,-0.29568004025022093,-0.8176105307816943,True
X2_beta_42_z,0.022028922550602605,-0.46794854756788284,True
X2_beta_63_z,-0.13551739784498354,-0.8419075514468846,True
X2_beta_ewm_hl10_z,-0.08441682094734572,-0.09041074448529551,True
X2_beta_ewm_hl20_z,-0.1887551156717635,-0.7180410518393505,True
X3_mom_diff_42_z,-0.35017467734482516,0.3862439688488153,True
M_LV_MOVE_level_z,0.969485288480678,-0.07868728348395937,True
M_CH_MOVE_d14_z,-0.7769305350641291,5.219102197183471,False
M_CH_MOVE_d21_z,-0.5663402251657115,3.624417351549009,False
